station,date,item,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
新竹                  ,2021-10-01,AMB_TEMP,28.3,28.3,27.8,27.8,27.6,27.6,27.7,28.4,30,30.9,31.8,32.6,32.6,32,31.6,31.4,30.9,30.5,30.2,29.8,29.4,29.1,28.7,28.2
新竹                  ,2021-10-01,CH4,2.04,2.02,2.12,2.18,2.19,2.24,2.21,2.17,2.13,2.07,2.02,1.98,1.97,1.96,1.96,1.97,2.01,2.06,2.07,2.05,2.04,2.03,2.08,2.08
新竹                  ,2021-10-01,CO,0.34,0.3,0.3,0.29,0.3,0.33,0.44,0.62,0.6,0.45,0.36,0.32,0.28,0.24,0.25,0.27,0.32,0.43,0.45,0.45,0.43,0.42,0.43,0.39
新竹                  ,2021-10-01,NMHC,0.17,0.13,0.12,0.14,0.17,0.16,0.18,0.23,0.2,0.13,0.12,0.1,0.08,0.04,0.04,0.06,0.05,0.17,0.24,0.22,0.16,0.14,0.16,0.14
新竹                  ,2021-10-01,NO,0.9,0.2,0.5,0.4,0.2,0.6,2.2,3.6,2.7,1.3,1.1,1.1,0.6,0.6,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.4,0.6
新竹                  ,2021-10-01,NO2,18.8,11.9,15.1,12.8,14.9,17.5,20,22.1,18.1,13.2,9.9,8.9,6.7,5.7,6,6.5,9,11.4,17.2,23.6,19.4,17.1,18.3,21.7
新竹                  ,2021-10-01,NOx,19.8,12.2,15.6,13.2,15.1,18.2,22.3,25.7,20.8,14.6,11,10.1,7.4,6.3,6.5,7,9.5,11.7,17.5,23.9,19.7,17.5,18.8,22.3
新竹                  ,2021-10-01,O3,16,21.5,16.9,16.4,12.6,11.3,13,15.2,32.7,52.6,60.2,58.7,62.1,64.5,70.2,66.8,71.7,68.9,48.8,38.1,37.8,37.9,27.1,22.6
新竹                  ,2021-10-01,PM10,28,24,29,32,31,32,46,48,58,51,39,33,26,15,14,20,26,40,43,38,37,34,39,28
新竹                  ,2021-10-01,PM2.5,28,22,26,24,28,20,31,37,38,28,23,18,18,11,12,15,18,27,23,27,27,24,22,23
新竹                  ,2021-10-01,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新竹                  ,2021-10-01,RH,71,66,76,79,81,78,81,79,74,67,59,58,59,57,58,59,64,68,64,65,68,71,76,80
新竹                  ,2021-10-01,SO2,1.8,1,1,1.3,1.5,1.4,1.7,2.5,4.2,3.6,3.2,2.7,1.8,1.3,1.4,1.5,1.9,2.2,2.3,3.2,2.4,1.8,1.8,2.2
新竹                  ,2021-10-01,THC,2.21,2.15,2.24,2.32,2.36,2.4,2.39,2.4,2.33,2.2,2.14,2.08,2.05,2,2,2.03,2.06,2.23,2.31,2.27,2.2,2.17,2.24,2.22
新竹                  ,2021-10-01,WD_HR,62,121,164,156,110,117,175,199,248,253,251,267,268,294,303,302,334,18,51,64,73,74,47,71
新竹                  ,2021-10-01,WIND_DIREC,33,183,160,151,90,151,212,239,258,246,255,283,274,293,296,291,301,39,71,52,82,72,55,65
新竹                  ,2021-10-01,WIND_SPEED,0.8,1.2,1.1,0.6,0.9,0.5,0.8,1.5,1.6,2.1,2.6,2.4,2.7,2.3,2.1,1.6,0.9,2,1.4,1.5,1.2,0.8,1.2,1.2
新竹                  ,2021-10-01,WS_HR,0.7,0.6,0.6,0.4,0.5,0.4,0.4,0.4,1,1.5,2.2,1.7,1.8,2.4,1.6,1,0.5,0.7,1.6,1.6,1.1,1.1,1,1.4
新竹                  ,2021-10-02,AMB_TEMP,27.8,27.4,27.1,27,26.9,26.7,26.5,27.3,28.9,30.7,32.3,32.9,33.2,33,32.2,31.9,31.1,30.7,30,29.3,28.8,28.4,28.2,28
新竹                  ,2021-10-02,CH4,2.08,2.08,2.04,2.08,2.06,2.04,2.04,2.04,2.04,2.04,2.01,2.02,2,1.99,1.98,1.98,1.99,2.04,2.02,2,2,1.99,2,2.06
新竹                  ,2021-10-02,CO,0.37,0.32,0.27,0.27,0.25,0.26,0.28,0.32,0.35,0.36,0.32,0.33,0.28,0.25,0.22,0.23,0.25,0.35,0.35,0.33,0.31,0.28,0.28,0.34
新竹                  ,2021-10-02,NMHC,0.12,0.12,0.05,0.08,0.06,0.07,0.11,0.09,0.13,0.16,0.14,0.1,0.08,0.06,0.06,0.06,0.1,0.23,0.15,0.12,0.11,0.07,0.06,0.12
新竹                  ,2021-10-02,NO,0.3,0.6,0.2,0.1,0.3,0.3,0.5,1.7,2.2,2.2,1,0.5,0.5,0.6,0.5,0.5,0.6,0.4,0.3,0.1,0.3,0.3,0.3,0.4
新竹                  ,2021-10-02,NO2,14.2,16.9,9.5,11.6,14.9,9.7,9.4,11,11.7,13,10.8,10,8.6,7.4,6.8,6.9,8.3,13.4,16.1,13.7,14.2,11.7,11.2,15.1
新竹                  ,2021-10-02,NOx,14.6,17.5,9.8,11.8,15.3,10.1,10,12.7,14,15.3,11.9,10.5,9.2,8.1,7.3,7.4,9,13.9,16.5,13.9,14.5,12,11.5,15.5
新竹                  ,2021-10-02,O3,23.8,19.5,27.4,20.4,19.9,25,19.1,20.7,29.6,42.9,61.8,70.2,73.9,66.6,60.3,54.7,50.3,41,34.6,32.8,31.7,33.8,31.9,20.6
新竹                  ,2021-10-02,PM10,28,24,21,25,19,21,26,27,31,33,30,39,33,31,29,33,37,40,27,22,20,19,16,27
新竹                  ,2021-10-02,PM2.5,18,18,18,19,17,18,20,19,20,22,18,20,17,17,14,11,13,16,17,13,16,10,11,14
新竹                  ,2021-10-02,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新竹                  ,2021-10-02,RH,81,82,81,81,81,82,79,76,68,61,53,55,54,55,57,57,60,61,60,61,62,62,63,74
新竹                  ,2021-10-02,SO2,0.6,0.8,0.4,0.8,1.5,1,0.5,0.5,1.1,1.6,1.6,2.2,2.2,1.7,1.3,1.1,1.3,2.1,2.5,1.1,1.1,0.9,0.9,0.8
新竹                  ,2021-10-02,THC,2.2,2.2,2.09,2.16,2.12,2.11,2.15,2.13,2.17,2.2,2.15,2.12,2.08,2.05,2.04,2.04,2.09,2.27,2.17,2.12,2.11,2.06,2.06,2.18
新竹                  ,2021-10-02,WD_HR,62,59,50,67,82,73,61,63,46,50,26,37,49,45,46,49,45,50,56,70,63,73,77,158
新竹                  ,2021-10-02,WIND_DIREC,63,44,57,97,83,85,67,37,46,76,331,54,44,42,51,42,47,58,58,93,66,70,76,150
新竹                  ,2021-10-02,WIND_SPEED,0.8,1.2,1.1,1.1,0.8,1.2,1.2,1.3,0.9,1.1,1.7,1.7,2.6,2.5,1.6,3.3,3,2.2,2.1,2,1.8,1.3,1.6,1
新竹                  ,2021-10-02,WS_HR,0.8,1.1,1,0.8,1.1,0.9,0.9,0.8,0.8,0.8,0.9,0.7,1.8,1.9,2,1.5,2.2,2.2,2.2,1.5,1.4,1.5,1.4,1.1
新竹                  ,2021-10-03,AMB_TEMP,27.8,27.7,27.6,27.2,27.5,27.1,26.9,27.5,29.5,31.3,32.6,33.7,33.7,33.7,33.9,34.1,33.4,32.5,31.8,31,30,30.2,29.6,28.4
新竹                  ,2021-10-03,CH4,2.07,2.07,2.16,2.06,2.02,2,2,1.99,1.99,2.01,2,2.03,2,1.97,1.97,1.99,1.99,2.01,2.01,2,2.02,2,2.03,2.14
新竹                  ,2021-10-03,CO,0.33,0.26,0.3,0.25,0.22,0.21,0.24,0.25,0.29,0.3,0.29,0.32,0.29,0.26,0.25,0.26,0.33,0.36,0.37,0.31,0.39,0.32,0.34,0.41
